CON
2
2
5
9
11
12
19
26
37
51
70
88
114
147
203
312
410
618
801
999
1207
1564
1917
2296
2810
3273
3885
4589
5204
5859
6802
7464
7998
8343
8726
9050
9338
9484
9612
9402
9062
8845
8543
8328
7872
7398
7054
6772
6481
6327
5965
5182
4548
4084
3831
3754
3462
3175
2868
2767
2582
2436
2418
2242
2094
2027
1870
1812
1765
1711
1607
1481
1454
1357
1302
1248
1250
1201
1103
1043
1059
1023
1010
1000
985
823
779
754
747
753
703
683
670
638
602
475
407
423
406
397
381
415
368
